DATE,LOL,HON,DO2,GW2,XIV,WOW,ESO,EQN,WIS
2014-06-10 07:20,63,1,52,4,13,6,7,1,20
2014-06-10 07:30,67,1,47,2,9,8,10,2,24
2014-06-10 07:40,48,1,40,4,16,3,10,2,24
2014-06-10 07:50,78,1,63,4,17,12,12,1,30
2014-06-10 08:00,57,3,48,7,18,6,14,1,31
2014-06-10 08:10,112,1,40,8,15,4,6,2,31
2014-06-10 08:20,82,1,90,5,14,8,12,1,28
2014-06-10 08:30,70,2,82,10,11,11,8,1,24
2014-06-10 08:40,85,1,64,4,8,11,13,2,37
2014-06-10 08:50,109,1,65,4,14,10,7,2,25
2014-06-10 09:00,73,1,39,5,8,21,12,2,50
2014-06-10 09:10,69,3,57,8,10,14,10,1,40
2014-06-10 09:20,78,1,65,9,17,42,11,3,37
2014-06-10 09:30,87,1,60,10,37,8,5,3,36
2014-06-10 09:40,77,1,59,6,24,11,12,3,30
2014-06-10 09:50,112,1,63,10,42,10,16,1,40
2014-06-10 10:00,69,2,42,5,15,6,8,1,45
2014-06-10 10:10,88,2,57,5,17,8,10,1,64
2014-06-10 10:20,100,1,51,9,13,9,9,3,37
2014-06-10 10:30,71,2,43,8,10,9,11,1,35
2014-06-10 10:40,86,1,64,5,9,28,9,1,46
2014-06-10 10:50,106,1,70,7,10,20,9,1,54
2014-06-10 11:00,93,2,71,12,11,14,11,3,46
2014-06-10 11:10,1,1,1,1,1,1,1,1,1
2014-06-10 11:20,1,1,1,1,1,1,1,1,1
2014-06-10 11:30,1,1,1,1,1,1,1,1,1
2014-06-10 11:40,113,2,42,6,12,10,9,2,44
2014-06-10 11:50,112,1,53,6,25,10,12,3,37
2014-06-10 12:00,129,4,49,8,25,14,14,2,28
2014-06-10 12:10,112,4,49,4,24,10,11,3,47
2014-06-10 12:20,103,2,31,2,76,5,15,1,41
2014-06-10 12:30,59,1,46,3,17,7,7,1,21
2014-06-10 12:40,120,1,43,4,27,9,6,1,37
2014-06-10 12:50,118,2,37,4,17,8,12,3,51
2014-06-10 13:00,100,1,51,10,18,11,11,1,31
2014-06-10 13:10,76,3,65,9,19,7,15,1,47
2014-06-10 13:20,113,2,55,4,17,8,15,1,47
2014-06-10 13:30,107,1,46,6,28,11,13,3,47
2014-06-10 13:40,87,1,41,5,15,12,14,1,65
2014-06-10 13:50,1214,1,39,4,15,29,18,1,70
2014-06-10 14:00,114,1,28,5,12,7,4,1,57
2014-06-10 14:10,114,2,46,7,136,16,14,2,50
2014-06-10 14:20,131,1,60,15,81,12,18,1,61
