DATE,LOL,HON,DO2,GW2,XIV,WOW,ESO,EQN,WIS
2014-06-09 09:10,104,1,68,6,21,14,18,1,50
2014-06-09 09:20,97,1,69,5,15,11,18,2,46
2014-06-09 09:30,98,1,73,6,12,10,12,2,55
2014-06-09 09:40,63,1,50,7,16,9,27,1,46
2014-06-09 09:50,67,1,58,9,18,12,9,1,48
2014-06-09 10:00,79,1,85,5,8,13,16,2,58
2014-06-09 10:10,65,1,56,5,18,11,55,1,58
2014-06-09 10:20,195,3,70,16,20,8,44,2,34
2014-06-09 10:30,86,1,82,8,8,10,26,2,33
2014-06-09 10:40,101,1,108,10,8,10,15,1,113
2014-06-09 10:50,72,1,122,6,15,4,17,1,96
2014-06-09 11:00,80,1,170,5,13,15,24,1,72
2014-06-09 11:10,66,2,88,3,13,11,27,1,57
2014-06-09 11:20,130,1,77,7,16,18,15,1,58
2014-06-09 11:40,109,1,94,7,23,28,53,3,148
2014-06-09 11:50,70,1,71,3,13,12,25,2,56
2014-06-09 12:00,76,1,63,2,12,14,26,2,67
2014-06-09 12:10,77,3,48,5,11,10,24,1,54
2014-06-09 12:20,164,3,75,3,20,21,23,10,64
2014-06-09 12:40,99,1,52,4,8,87,23,7,89
2014-06-09 12:50,90,2,128,7,20,26,15,1,40
2014-06-09 13:00,99,2,75,14,16,6,12,1,49
2014-06-09 13:10,83,1,87,3,12,15,18,3,42
2014-06-09 13:20,107,1,129,7,15,12,18,1,43
2014-06-09 13:30,39,1,37,2,7,3,9,1,24
2014-06-09 13:40,100,2,43,5,11,17,13,1,37
2014-06-09 13:50,84,1,46,12,12,48,10,3,51
2014-06-09 14:00,80,2,63,5,19,14,18,4,60
2014-06-09 14:10,74,3,40,7,24,16,16,4,36
2014-06-09 14:20,68,3,27,3,25,13,21,3,46
2014-06-09 14:30,112,1,38,6,39,10,19,3,37
2014-06-09 14:40,604,3,373,6,7,13,12,5,49
2014-06-09 14:50,117,1,68,4,18,12,14,3,84
2014-06-09 15:00,104,1,37,4,12,5,8,4,45
2014-06-09 15:10,93,1,72,6,14,17,25,3,64
2014-06-09 15:20,118,1,62,8,28,12,18,1,37
2014-06-09 15:30,102,1,67,5,35,15,7,3,56
2014-06-09 15:40,70,1,32,1,14,20,16,1,37
2014-06-09 15:50,87,1,33,7,17,13,10,1,40
2014-06-09 16:00,78,1,41,6,48,7,14,1,56
2014-06-09 16:10,81,1,47,1,13,19,17,2,45
2014-06-09 16:20,59,1,18,5,8,10,10,1,31
2014-06-09 16:40,76,1,29,2,15,13,12,2,92
2014-06-09 16:50,86,1,28,4,17,10,17,2,63
2014-06-09 17:00,65,1,30,9,15,15,17,1,44
2014-06-09 17:10,79,17,32,2,6,17,22,1,53
2014-06-09 17:20,77,1,21,7,20,16,18,1,51
2014-06-09 17:30,71,1,33,4,9,13,14,1,60
2014-06-09 17:40,68,1,17,5,16,12,12,1,38
2014-06-09 17:50,73,1,25,11,14,15,15,1,54
2014-06-09 18:00,62,1,22,3,14,15,14,2,51
2014-06-09 18:10,62,6,21,3,24,16,5,2,47
2014-06-09 18:20,67,1,24,6,18,11,17,1,54
2014-06-09 18:30,50,1,34,9,30,10,17,2,36
2014-06-09 18:40,57,1,58,5,12,7,16,1,36
2014-06-09 18:50,63,1,64,4,17,11,9,2,35
2014-06-09 19:00,54,1,47,4,10,13,9,1,36
2014-06-09 19:10,64,3,44,7,15,17,16,1,45
2014-06-09 19:20,75,2,64,5,24,26,22,3,45
2014-06-09 19:30,71,1,90,10,30,18,13,6,33
2014-06-09 19:40,70,1,53,9,19,16,16,1,40
2014-06-09 19:50,75,1,30,8,18,11,20,1,34
2014-06-09 20:00,61,2,23,4,23,7,13,1,24
2014-06-09 20:10,54,1,51,8,17,10,9,1,28
2014-06-09 20:20,68,2,42,8,22,23,14,2,39
2014-06-09 20:30,84,1,74,5,11,21,18,1,43
2014-06-09 20:40,61,1,51,6,14,16,9,1,23
2014-06-09 20:50,70,2,52,5,13,8,27,1,42
2014-06-09 21:00,68,1,55,7,17,9,21,2,38
2014-06-09 21:10,69,1,46,10,13,16,15,1,38
2014-06-09 21:20,82,1,67,4,16,26,36,4,34
2014-06-09 21:30,73,1,40,4,22,9,34,1,26
2014-06-09 21:40,1,1,1,1,1,1,1,1,1
2014-06-09 21:50,1,1,1,1,1,1,1,1,1
2014-06-09 22:00,1,1,1,1,1,1,1,1,1
2014-06-09 22:10,67,1,41,3,26,10,16,1,37
2014-06-09 22:20,54,1,43,4,30,13,29,1,39
2014-06-09 22:30,36,1,40,3,22,9,26,2,40
2014-06-09 22:40,34,1,45,4,14,13,20,1,28
2014-06-09 22:50,45,1,36,6,18,14,22,2,34
2014-06-09 23:00,54,1,34,2,5,12,13,1,27
2014-06-09 23:10,49,1,29,5,11,15,8,1,25
2014-06-09 23:20,46,1,38,4,21,14,17,3,28
2014-06-09 23:30,50,1,39,4,16,31,14,1,22
2014-06-09 23:40,36,1,34,3,9,21,6,1,23
2014-06-09 23:50,45,1,33,8,12,23,16,1,23
2014-06-10 00:00,35,1,31,1,12,11,10,1,19
2014-06-10 00:10,32,1,27,3,14,9,11,1,23
2014-06-10 00:20,42,1,34,3,12,10,23,2,27
2014-06-10 00:30,37,1,24,2,30,11,7,1,21
2014-06-10 00:40,33,2,40,2,9,13,7,1,34
2014-06-10 00:50,41,2,35,7,20,9,10,1,22
2014-06-10 01:00,34,1,33,6,10,11,17,1,16
2014-06-10 01:10,54,14,35,3,18,13,7,1,28
2014-06-10 01:20,48,1,31,5,14,8,16,1,34
2014-06-10 01:30,36,1,38,4,15,4,4,1,20
2014-06-10 01:40,39,2,22,2,16,10,12,1,19
2014-06-10 01:50,39,1,32,3,17,11,7,2,23
2014-06-10 02:00,54,1,31,4,9,1,7,1,20
2014-06-10 02:10,35,2,33,1,8,12,7,2,16
2014-06-10 02:20,29,1,33,3,15,8,5,1,24
2014-06-10 02:30,31,1,34,5,27,6,16,1,35
2014-06-10 02:40,37,1,38,8,22,7,9,1,52
2014-06-10 02:50,41,1,51,5,12,11,7,2,30
2014-06-10 03:00,42,1,37,3,15,5,3,2,12
2014-06-10 03:10,27,2,29,4,14,1,6,1,41
2014-06-10 03:20,37,1,39,3,18,13,4,1,20
2014-06-10 03:30,31,2,32,7,5,5,8,1,22
2014-06-10 03:40,37,1,40,6,20,45,6,1,23
2014-06-10 03:50,38,3,37,4,12,6,7,1,32
2014-06-10 04:00,25,2,44,6,14,4,8,1,33
2014-06-10 04:10,42,1,43,3,45,3,6,1,39
2014-06-10 04:20,53,1,50,10,23,4,5,1,46
2014-06-10 04:30,35,1,34,5,17,7,4,1,39
2014-06-10 04:40,1,1,1,1,1,1,1,1,1
2014-06-10 04:50,1,1,1,1,1,1,1,1,1
2014-06-10 05:00,1,1,1,1,1,1,1,1,1
2014-06-10 05:10,42,3,47,3,14,10,4,2,47
2014-06-10 05:20,54,1,41,6,15,10,7,1,33
2014-06-10 05:30,73,1,34,3,8,15,5,1,14
2014-06-10 05:40,64,2,51,4,18,18,7,2,22
2014-06-10 05:50,93,1,42,2,11,12,7,1,27
2014-06-10 06:00,72,1,42,4,9,13,4,1,26
2014-06-10 06:10,69,4,51,5,17,14,11,1,18
2014-06-10 06:20,75,1,66,5,14,9,8,1,31
2014-06-10 06:30,63,1,59,2,14,5,10,2,21
2014-06-10 06:40,56,1,46,7,20,9,6,3,19
2014-06-10 06:50,76,1,61,4,19,7,5,1,26
2014-06-10 07:00,59,3,57,4,11,19,8,2,33
2014-06-10 07:10,63,1,59,5,17,10,7,1,34
2014-06-10 07:20,75,1,62,5,14,9,7,1,22
